序号,酒店名,清洁程度,舒适程度,位置,设施/服务,员工素质,性价比,免费WiFi,评论数,价格,综合评价,离中心地区距离
0,上海复旦皇冠假日酒店,8.5,8.4,7.8,8.1,8,7.5,6.4,199,750,非常好,7
1,丽墅国家会展中心店,8.4,8.2,7.1,8.1,8.4,7.7,7.5,90,599,非常好,6
2,上海新世界丽笙大酒店,8.7,8.5,9.3,8.3,8.3,7.7,7.2,NaN,NaN,非常好,NaN
3,上海皇廷国际大酒店,8.5,8.4,7.1,8.2,8,7.7,7.3,784,695,非常好,2
4,上海浦东机场华美达广场酒店,8.2,7.9,8.5,7.6,7.4,6.6,7.5,NaN,NaN,好,1
5,浦东绿地铂骊酒店-,8.4,8.4,8,8.2,8.1,7.7,7.2,NaN,740,非常好,1
6,新爵皇家酒店（浦东机场大道店）,7.3,7.4,6.4,7.1,7.6,7.7,6.5,745,338,好,7
7,如家快捷酒店上海浦东机场晨阳路店,7.7,7.5,7.5,7.3,7.6,7.9,7.5,394,189,好,7
8,上海五角场凯悦酒店,9.2,9,8.6,8.9,8.5,8.2,8,361,950,很棒,8
9,上海浦东机场川沙亚朵轻居酒店,8.9,8.9,7.5,8.7,9,8.4,7.8,92,459,很棒,1
10,上海静安万枫酒店,9,8.5,7.5,8.2,7.7,7.9,7.3,82,NaN,非常好,NaN
11,上海国际旅游度假区-万怡酒店,8.8,8.7,8,8.5,8.3,7.9,7.9,559,557,非常好,8
12,上海丽豪国际大酒店,6.4,6.3,6,5.7,5.7,5.7,5.1,86,420,评分,8
13,上海皇廷世际酒店,9,8.9,7.1,8.7,8.1,8.5,7.4,186,NaN,非常好,6
14,锦江都城经典上海新城外滩酒店,8.8,8.8,9.2,8.4,8.3,8.2,7.8,NaN,869,很棒,NaN
15,上海三甲港绿地铂派酒店,8.7,8.1,6.5,7.9,7.9,7.9,7,153,472,好,9
16,上海雅居乐万豪酒店,9.1,9.1,9.2,8.8,8.6,8.1,7.7,NaN,NaN,很棒,NaN
17,锦江都城经典上海南京饭店,9.2,8.7,9.6,8.5,8.4,8.2,7.3,280,NaN,很棒,NaN
18,上海客莱福诺富特酒店,8.9,8.7,7.7,8.5,8.3,8.3,7.7,NaN,553,非常好,7
19,汉庭酒店上海浦东机场店,7.6,7.2,7,7,7.4,7.4,7.1,248,227,好,8
20,上海帝盛酒店,8.4,8.5,8.9,8.1,8.5,7.8,7.5,NaN,563,非常好,7
21,上海财大豪生大酒店,7.8,7.8,7.5,7.5,7.5,7.6,7.6,137,890,好,8
22,上海三甲港绿地铂骊酒店,9.4,8.8,7.4,8.7,8.7,8.7,7.4,79,540,很棒,8
23,如家快捷酒店上海浦东机场自由贸易区店,7.4,7.2,5.9,6.9,7,7.3,6.6,338,256,评分,9
24,同济君禧大酒店,8.6,8.6,8.8,8.7,8.8,8,7.9,147,NaN,很棒,NaN
25,新爵加一酒店,7.6,7.9,6.7,7.8,8.1,8.1,7.2,268,345,好,7
26,上海豫园万丽酒店,8.7,8.7,8.9,8.4,8.6,7.7,8,NaN,899,非常好,NaN
27,上海林隠艺术酒店,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,641,非常好,6
28,万信慧选酒店,6.2,6.4,6,6.2,6.2,6.6,5.3,181,288,评分,8
29,五角场智选假日酒店,6.6,6.8,6.9,6.4,6.7,6.4,6.3,234,394,评分,7
